symbol,instrument_key,open,high,low,close,volume,timestamp
DRREDDY,NSE_EQ|INE089A01031,974.0,974.0,961.2,966.1,5585950,2020-12-01
DRREDDY,NSE_EQ|INE089A01031,970.4,977.8,962.2,970.05,6117260,2020-12-02
DRREDDY,NSE_EQ|INE089A01031,974.0,987.8,968.5,984.6,5174465,2020-12-03
DRREDDY,NSE_EQ|INE089A01031,988.0,992.1,972.4,981.7,6998410,2020-12-04
DRREDDY,NSE_EQ|INE089A01031,986.0,1014.8,981.0,1005.8,12029520,2020-12-07
DRREDDY,NSE_EQ|INE089A01031,1010.0,1016.0,991.2,1003.05,6638505,2020-12-08
DRREDDY,NSE_EQ|INE089A01031,1005.0,1020.0,1005.0,1011.4,6767490,2020-12-09
DRREDDY,NSE_EQ|INE089A01031,1011.6,1017.3,1003.0,1010.6,4741470,2020-12-10
DRREDDY,NSE_EQ|INE089A01031,1011.0,1016.8,996.95,1003.4,3839815,2020-12-11
DRREDDY,NSE_EQ|INE089A01031,990.4,1010.8,990.4,1004.55,5918125,2020-12-14
DRREDDY,NSE_EQ|INE089A01031,1009.4,1015.2,1002.05,1006.25,5025520,2020-12-15
DRREDDY,NSE_EQ|INE089A01031,1010.0,1010.35,1001.2,1007.8,4162280,2020-12-16
DRREDDY,NSE_EQ|INE089A01031,1010.0,1026.9,1006.0,1014.55,6803005,2020-12-17
DRREDDY,NSE_EQ|INE089A01031,1016.0,1052.55,1015.65,1045.75,18525665,2020-12-18
DRREDDY,NSE_EQ|INE089A01031,1048.6,1054.85,992.4,1013.7,9061285,2020-12-21
DRREDDY,NSE_EQ|INE089A01031,1021.55,1035.0,987.25,1032.35,7764120,2020-12-22
DRREDDY,NSE_EQ|INE089A01031,1032.3,1047.75,1026.25,1044.8,4062350,2020-12-23
DRREDDY,NSE_EQ|INE089A01031,1049.4,1049.4,1033.0,1040.35,3378180,2020-12-24
DRREDDY,NSE_EQ|INE089A01031,1045.65,1047.0,1037.4,1040.35,2055865,2020-12-28
DRREDDY,NSE_EQ|INE089A01031,1045.0,1053.8,1029.1,1033.1,4412165,2020-12-29
DRREDDY,NSE_EQ|INE089A01031,1038.3,1038.3,1028.5,1034.2,2376345,2020-12-30
DRREDDY,NSE_EQ|INE089A01031,1038.0,1050.75,1032.2,1041.0,6036190,2020-12-31
DRREDDY,NSE_EQ|INE089A01031,1043.45,1050.95,1040.0,1048.25,2915215,2021-01-01
DRREDDY,NSE_EQ|INE089A01031,1052.0,1061.65,1048.25,1054.45,3923440,2021-01-04
DRREDDY,NSE_EQ|INE089A01031,1048.0,1067.4,1045.4,1057.4,4770920,2021-01-05
DRREDDY,NSE_EQ|INE089A01031,1057.4,1063.0,1045.2,1057.65,2713390,2021-01-06
DRREDDY,NSE_EQ|INE089A01031,1060.2,1065.0,1050.6,1054.2,3266465,2021-01-07
DRREDDY,NSE_EQ|INE089A01031,1060.0,1072.0,1055.8,1067.65,4045915,2021-01-08
DRREDDY,NSE_EQ|INE089A01031,1068.8,1085.4,1065.2,1083.35,4599235,2021-01-11
DRREDDY,NSE_EQ|INE089A01031,1088.2,1088.7,1065.9,1070.75,3741860,2021-01-12
DRREDDY,NSE_EQ|INE089A01031,1073.0,1075.0,1047.6,1058.0,3296060,2021-01-13
